country,obs,year,month,pday,old_day,evday,form,form_recode,goal_recode,goal_recode2,goal,part,partmedian,frame,orgdummy,title,dataset,frame1
NL,1,1975,1,,6,,"demonstration, protest march",demonstrative,Solidarity internal (incl. anti-racism),immigration,,.05,.050000001,,0,,old data sets,international
NL,2,1975,1,,6,,squatting,confrontational,Labor,economic (others),,.06,.059999999,,0,,old data sets,national
NL,3,1975,1,,13,,blockade or other forms of blocking,confrontational,Others,others,,.1,.1,,1,,old data sets,regional
NL,4,1975,1,,20,,"demonstration, protest march",demonstrative,Others,others,,,.5,,0,,old data sets,local
NL,5,1975,1,,20,,"demonstration, protest march",demonstrative,Others,others,,,.5,,0,,old data sets,local
NL,6,1975,1,,27,,"demonstration, protest march",demonstrative,Peace,cultural liberalism,,5,5,,1,,old data sets,international
NL,7,1975,1,,27,,"demonstration, protest march",demonstrative,Solidarity external,cultural liberalism,,.5,.5,,0,,old data sets,international
NL,8,1975,1,,27,,collection on behalf of a group in a political conflict,demonstrative,Solidarity external,cultural liberalism,,.5,.5,,1,,old data sets,international
NL,9,1975,2,,3,,"demonstration, protest march",demonstrative,Solidarity external,cultural liberalism,,1.5,1.5,,0,,old data sets,international
NL,10,1975,2,,3,,"demonstration, protest march",demonstrative,Peace,cultural liberalism,,.5,.5,,1,,old data sets,international
NL,11,1975,2,,10,,"demonstration, protest march",demonstrative,Peace,cultural liberalism,,1.8,1.8,,0,,old data sets,regional
NL,12,1975,2,,17,,"demonstration, protest march",demonstrative,"Squatters, autonomous youth",cultural liberalism,,3,3,,0,,old data sets,local
NL,13,1975,2,,17,,criminal fire aimed at objects,heavy violence,Countermobilization NSM,environment,,.003,.003,,0,,old data sets,international
NL,14,1975,2,,17,,"demonstration, protest march",demonstrative,Labor,economic (others),,.05,.050000001,,0,,old data sets,international
NL,15,1975,2,,24,,"demonstration, protest march",demonstrative,Labor,economic (others),,6,6,,1,,old data sets,local
NL,16,1975,3,,3,,protest meeting,demonstrative,"Squatters, autonomous youth",cultural liberalism,,.2,.2,,1,,old data sets,local
NL,17,1975,3,,3,,"demonstration, protest march",demonstrative,"Squatters, autonomous youth",cultural liberalism,,1,1,,0,,old data sets,local
NL,18,1975,3,,10,,"demonstration, protest march",demonstrative,Labor,economic (others),,.5,.5,,1,,old data sets,national
NL,19,1975,3,,17,,boycott,confrontational,"Squatters, autonomous youth",cultural liberalism,,,.075000003,,1,,old data sets,local
NL,20,1975,3,,24,,blockade or other forms of blocking,confrontational,"Squatters, autonomous youth",cultural liberalism,,.5,.5,,1,,old data sets,local
NL,21,1975,3,,24,,illegal demonstration,confrontational,"Squatters, autonomous youth",cultural liberalism,,2,2,,0,,old data sets,local
NL,22,1975,3,,24,,blockade or other forms of blocking,confrontational,"Squatters, autonomous youth",cultural liberalism,,.5,.5,,0,,old data sets,local
NL,23,1975,3,,24,,demonstration with violence,light violence,"Squatters, autonomous youth",cultural liberalism,,.1,.1,,1,,old data sets,local
NL,24,1975,3,,24,,"demonstration, protest march",demonstrative,Education,cultural (others),,6,6,,1,,old data sets,national
NL,25,1975,4,,1,,"demonstration, protest march",demonstrative,"Squatters, autonomous youth",cultural liberalism,,2.5,2.5,,1,,old data sets,local
NL,26,1975,4,,7,,"demonstration, protest march",demonstrative,Other left,economic (others),,.5,.5,,0,,old data sets,local
NL,27,1975,4,,14,,"demonstration, protest march",demonstrative,Solidarity external,cultural liberalism,,1,1,,0,,old data sets,international
NL,28,1975,5,,5,,squatting,confrontational,"Squatters, autonomous youth",cultural liberalism,,.15,.15000001,,1,,old data sets,local
NL,29,1975,5,,5,,"demonstration, protest march",demonstrative,"Squatters, autonomous youth",cultural liberalism,,.05,.050000001,,1,,old data sets,local
NL,30,1975,5,,12,,"demonstration, protest march",demonstrative,Education,cultural (others),,.5,.5,,0,,old data sets,international
