country,year,source_string,articleid,title,date,page,rubric,description,event_day,place_new,trans_place,duration,form,part_high,part_low,part_number2,transpart,campaign,issue_new1,issue_new2,issue_new3,frame1_1,frame1_2,frame1_3,frame2_1,frame2_2,frame2_3,frame3_1,frame3_2,frame3_3,european_frame1,european_frame2,european_frame3,ad1_level,ad1_type,ad2_level,ad2_type,police,arrests,wounded,noorgs,org1_name,org1_type,org2_name,org2_type,org3_name,org3_type,org4_name,org4_type,org5_name,org5_type,org6_name,org6_type,org7_name,org7_type,comment,place_num,place_string,european_issue,european_frame,european_ad,european_theme,european_actor
A,1996,Die Presse,Vertragsloser Zustand droth_29.03.1996_missing,Vertragsloser Zustand droht,29 Mar 96,,,"Niederösterreichische Spitalsärzte verrichten ""Dienst nach Vorschrift"" und tragen, wenn dies nicht ausreicht und sie Überstunden machen müssen, rote Armbinden. Sie fordern ein Arbeitszeitgesetz, welches die EU-Richtlinie einer 48-Stunden-Woche ",Still ongoing,A: BL Niederösterreich,0,,strike (work stoppage),,,500,0,no campaign,Social/labor,,,e1 labour & social security,,,,,,,,,1,,,subnational,National state actor,,,0,0,0,1,Niederösterreichische Ärztekammer,subnational interes association ,,,,,,,,,,,,,Streik beginnt am 1.1.1996 und dauert mind. bis 29.3.1996 an.,,,0,1,0,1,0
A,2008,Die Presse,Pyrrhussieg für die Milchbauern_04.06.2008_1,Pyrrhussieg für die Milchbauern,06 Jun 08,1,S1 Seite Eins,"15.000 österreichische Milchbauern beteiligten sich vom 27.5 bis zum 5.6. bei einem Lieferboykott. Der Boykott ist Teil einer mitteleuropäischen Kampagne (zumind.. Deutschland, Italien und Frankreich) die eine Anhebung der Milchpreise fordert u",Friday,A: Österreich,0,10,strike (work stoppage),15000,,15000,0,European campaign,Agriculture,Agriculture,,e1 labour & social security,,,e1 labour & social security,,,,,,0,0,,national,National state actor,European,EU in general,0,0,0,1,IG Milch,national interest association,,,,,,,,,,,,,"Information stammt aus mehreren Artikeln, EU-Bezug letztlich unklar",,,1,0,1,1,1
A,2008,Die Presse,Leere Briefkästen: Postler im_10.12.2008_17,Leere Briefkästen: Postler im,10 Dec 08,17,WIR Economist,Die Post-Gewerkschaft streikt ab Mittwoch bundesweit um gegen die Schließung von 1000 Postämtern und den Abbau von 9000 Postlern im Zuge der von der EU für 2011 festgelegte Liberalisierung des europäischen Postmarktes zu protestieren.,Unknown,A: Österreich,0,,strike (work stoppage),,,500,0,no campaign,Market/liberalization,,,e1 labour & social security,,,,,,,,,0,,,national,National state actor,,,0,0,0,1,Post-Gewerkschaft,national trade union ,,,,,,,,,,,,,,,,1,0,0,1,0
A,2009,Die Presse,Kammer und Bauernbund gegen_14.09.2009_15,Kammer und Bauernbund gegen,14 Sep 09,15,WIR Economist,IG Milch rief am Samstag zu einem Lieferstreik aus. Solidarisch mit anderen europäischen Ländern  und von Frankreich ausgehend fordern sie höhere Milchpreise und Veränderungen in der EU Agrarpolitik.,Still ongoing,A: Österreich,0,,strike (work stoppage),,,500,0,European campaign,Agriculture,Agriculture,Agriculture,e1 labour & social security,,,e1 labour & social security,,,,,,0,0,,national,National state actor,European,EU in general,0,0,0,1,IG Milch,national interest association,,,,,,,,,,,,,Begründungen sind (laut Artikel) nur auf Österreich bezogen (Zusatzartikel),,,1,0,1,1,1
A,2004,Die Presse,Martin ist für Haider der_17.05.2004_5,Martin ist für Haider der,17 May 04,5,IPO Inland,"Unterschriftenaktion gegen ""Menschenrechtsverletzungen und Gräueltaten der US-Armee und ihrer europäischen Verbündeten"" der FPÖ. Sie fordert eine Sonderkonferenz der EU-Außenminister, den sofortigen Abzug der Truppen aus EU-Ländern aus dem Irak",Still ongoing,A: Österreich,0,,"collection of signatures, petition ",,,2300,0,no campaign,Peace/foreign affairs,Peace/foreign affairs,Peace/foreign affairs,c3 multiculturalist-universalist,,,,,,,,,1,,,European,EU in general,,,0,0,0,1,FPÖ,national party ,,,,,,,,,,,,,,,,1,1,1,1,0
A,1998,Die Presse,Autoren-Protest bei van Miert_12.06.1998_missing,Autoren-Protest bei van Miert,12 Jun 98,,,"Schriftstellerverbände Österreichs, Deutschlands und der Schweiz überreichten dem EU-Wettbewerbskommissar Karel von Miert in Brüssel 10.000 Unterschriften von Autoren die sich für die Beibehaltung der grenzüberschreitenden Buchpreisbindung auss",Thursday,BE: Brüssel,1,1,"collection of signatures, petition ",10000,,10000,1,no campaign,Market/liberalization,,,,,,,,,,,,,,,European,European Commission,,,0,0,0,3,Schriftstellerverband Österreich,national interest association,Schriftstellerverband Deutschland,national interest association,Schriftstellerverband Schweiz,national interest association,,,,,,,,,,,,1,,1,1,1
A,1997,Die Presse,Neubeginn für Aktivisten_13.01.2000_missing,Neubeginn für Aktivisten,13 Jan 00,,,"Innsbrucker Stadtrat sammelt 1997 8000 Unterschriften gegen die Usance der EU, Prämien für Lebendtiertransporte auszuzahlen und legt sie dem Parlamentsausschuss für Petitionen vor.",Unknown,A: BL Tirol,0,,"collection of signatures, petition ",8000,,8000,0,no campaign,Environment/animal,,,ou3 environment/sustainability,,,,,,,,,0,,,national,National state actor,,,0,0,0,1,SPÖ Stadtrat Lothar Müller,subnational party  ,,,,,,,,,,,,,,,,1,0,0,1,0
A,2008,Die Presse,Strache übergibt Petition an_06.03.2008_5,Strache übergibt Petition an,06 Mar 08,5,APO Europa,"Die ""linksgerichtete"" Plattform Volxabstimmung sammelt Österreich-weit Unterschriften für ein Referendum über den EU-Reformvertrag.",Still ongoing,A: Österreich,0,,"collection of signatures, petition ",,,2300,0,national campaign,EU integration (general),,,,,,,,,,,,,,,national,National state actor,,,0,0,0,1,Plattform Volxabstimmung,"national social movement organisation, initiative, network",,,,,,,,,,,,,,,,1,,0,1,0
A,2008,Die Presse,Volksbefragung über EU-Vertrag rückt_01.03.2008_7,Volksbefragung über EU-Vertrag rückt,01 Mar 08,7,APO Europa,Das BZÖ sammelte ab 12.11.2007 Unterschriften um in Kärnten eine Volksbefragung über den EU-Vertrag zu bewirken. Am Freitag den 29.02.2008 übergeben Landeshauptmann Jörg Haider und seine Mitstreiter die mehr als 15.000 Unterschriften der Landes,Friday,A: Klagenfurt,0,109,"collection of signatures, petition ",15000,,15000,0,national campaign,EU integration (general),EU integration (general),,c2 nationalistic-institutional,,,c2 nationalistic-institutional,,,,,,0,0,,subnational,National state actor,,,0,0,0,1,BZÖ,subnational party  ,,,,,,,,,,,,,,,,1,0,0,1,0
A,2001,Die Presse,FP fordert Halbierung der_23.02.2001_missing,FP fordert Halbierung der,23 Feb 01,,,Unterschriftenaktion der FPÖ-Niederösterreich für Renationalisierung der Landwirtschaftspolitik,Unknown,A: BL Niederösterreich,0,,"collection of signatures, petition ",,,2300,0,no campaign,Agriculture,EU integration (general),Agriculture,ou5 other utilitarian,ou5 other utilitarian,ou5 other utilitarian,ou1 political efficiency & efficacy,,,,,,0,1,,,,,,0,0,0,1,FPÖ-Niederösterreich,subnational party  ,,,,,,,,,,,,,PE 11 und 12 sehr ähnlich - identisch? Hier kein Adressat erkennbar,,,1,1,0,1,0
